id_transaction,date,produit,quantite,prix_unitaire,vendeur,zone_client,mode_paiement,montant_fcfa
TXN0038,2024-05-18,Lait en poudre (400g),19,1500,Bamba E.,Adjamé,Espèces,28500
TXN0039,2024-05-01,Sardines en boîte,7,1200,Kouamé A.,Cocody,Carte bancaire,8400
TXN0040,2024-04-20,Savon de ménage,14,1000,Aminata D.,Adjamé,Carte bancaire,14000
TXN0041,2024-01-14,Huile végétale (5L),2,2000,Aminata D.,Yopougon,Espèces,4000
TXN0042,2024-03-04,Sucre (1kg),7,500,Bamba E.,Adjamé,Espèces,3500
TXN0043,2024-04-18,Lait en poudre (400g),9,1500,Aminata D.,Plateau,Espèces,13500
TXN0044,2024-04-23,Eau minérale (1.5L),4,500,Kouamé A.,Marcory,Espèces,2000
TXN0045,2024-01-24,Sucre (1kg),6,500,Aminata D.,Adjamé,Mobile Money,3000
TXN0046,2024-02-24,Sardines en boîte,2,1200,Adjoua B.,Adjamé,Espèces,2400
TXN0047,2024-04-09,Farine de blé (1kg),15,750,Koffi C.,Adjamé,Carte bancaire,11250
TXN0048,2024-05-22,Tomate concentrée,5,500,Adjoua B.,Yopougon,Espèces,2500
TXN0049,2024-01-15,Eau minérale (1.5L),2,500,Koffi C.,Cocody,Espèces,1000
TXN0050,2024-05-29,Tomate concentrée,17,500,Bamba E.,Plateau,Espèces,8500
TXN0051,2024-05-10,Huile végétale (5L),6,2000,Kouamé A.,Marcory,Espèces,12000
TXN0052,2024-06-21,Sucre (1kg),13,500,Kouamé A.,,Espèces,6500
TXN0053,2024-05-28,Riz (sac 25kg),3,3500,Aminata D.,Marcory,Carte bancaire,10500
TXN0054,2024-05-13,Savon de ménage,9,1000,Adjoua B.,Yopougon,Espèces,9000
TXN0055,2024-03-08,Sardines en boîte,5,1200,Koffi C.,Adjamé,Mobile Money,6000
TXN0056,2024-01-19,Riz (sac 25kg),15,3500,Bamba E.,Marcory,Espèces,52500
TXN0057,2024-01-19,Eau minérale (1.5L),7,500,Bamba E.,Yopougon,Espèces,3500
TXN0058,2024-03-30,Huile végétale (5L),8,2000,Koffi C.,Yopougon,Espèces,16000
TXN0059,2024-04-22,Eau minérale (1.5L),10,500,Bamba E.,Marcory,Espèces,5000
TXN0060,2024-06-19,Eau minérale (1.5L),10,500,Kouamé A.,Plateau,Mobile Money,5000
TXN0061,2024-01-30,Huile végétale (5L),18,2000,Adjoua B.,Yopougon,Mobile Money,36000
TXN0062,2024-06-03,Sucre (1kg),11,500,Adjoua B.,Yopougon,Carte bancaire,5500
TXN0063,2024-05-05,Farine de blé (1kg),2,750,Kouamé A.,Adjamé,Mobile Money,1500
TXN0064,2024-01-12,Riz (sac 25kg),11,3500,Adjoua B.,Yopougon,Espèces,38500
TXN0065,2024-04-23,Eau minérale (1.5L),14,500,Bamba E.,Cocody,Espèces,7000
TXN0066,2024-01-20,Lait en poudre (400g),18,1500,Kouamé A.,Yopougon,Carte bancaire,27000
TXN0067,2024-05-21,Lait en poudre (400g),14,1500,Adjoua B.,Cocody,Mobile Money,21000
TXN0068,2024-04-03,Riz (sac 25kg),12,3500,Adjoua B.,Plateau,Carte bancaire,42000
TXN0069,2024-01-27,Savon de ménage,18,1000,Aminata D.,Marcory,Carte bancaire,18000
TXN0070,2024-02-09,Sucre (1kg),6,500,Adjoua B.,Adjamé,Espèces,3000
TXN0071,2024-02-15,Savon de ménage,14,1000,,Yopougon,Espèces,14000
TXN0072,2024-06-28,Huile végétale (5L),13,2000,Kouamé A.,Adjamé,Espèces,26000
TXN0073,2024-02-21,Tomate concentrée,12,500,Koffi C.,Plateau,Espèces,6000
TXN0074,2024-01-07,Sucre (1kg),13,500,Koffi C.,Yopougon,Espèces,6500
TXN0075,2024-03-12,Savon de ménage,17,1000,Aminata D.,Marcory,Mobile Money,17000
TXN0076,2024-01-08,Huile végétale (5L),9,2000,Adjoua B.,,Mobile Money,18000
TXN0077,2024-01-10,Huile végétale (5L),14,2000,Koffi C.,Yopougon,Mobile Money,28000
TXN0078,2024-06-04,Eau minérale (1.5L),4,500,Aminata D.,Marcory,Espèces,2000
TXN0079,2024-03-06,Riz (sac 25kg),14,3500,Kouamé A.,Marcory,Carte bancaire,49000
TXN0080,2024-06-24,Sucre (1kg),12,500,Aminata D.,Cocody,Carte bancaire,6000
TXN0081,2024-03-25,Savon de ménage,4,1000,Koffi C.,Marcory,Mobile Money,4000
TXN0082,2024-06-19,Sardines en boîte,11,1200,Aminata D.,Yopougon,Carte bancaire,13200
TXN0083,2024-02-02,Sucre (1kg),14,500,Aminata D.,Plateau,Carte bancaire,7000
TXN0084,2024-05-25,Farine de blé (1kg),13,750,Bamba E.,Cocody,Mobile Money,9750
TXN0085,2024-03-14,Sucre (1kg),14,500,Bamba E.,Marcory,Carte bancaire,7000
TXN0086,2024-03-23,Tomate concentrée,15,500,Aminata D.,Plateau,Carte bancaire,7500
TXN0087,2024-05-01,Lait en poudre (400g),3,1500,Koffi C.,Marcory,Carte bancaire,4500
TXN0088,2024-06-11,Savon de ménage,3,1000,,Yopougon,Espèces,3000
TXN0089,2024-02-20,Lait en poudre (400g),1,1500,Kouamé A.,Plateau,Mobile Money,1500
TXN0090,2024-06-05,Huile végétale (5L),15,2000,Aminata D.,Marcory,Espèces,30000
TXN0091,2024-06-27,Sardines en boîte,16,1200,Aminata D.,Plateau,Espèces,19200
TXN0092,2024-06-16,Riz (sac 25kg),4,3500,Aminata D.,Plateau,Espèces,14000
TXN0093,2024-06-27,Eau minérale (1.5L),15,500,Kouamé A.,Marcory,Espèces,7500
TXN0094,2024-02-01,Tomate concentrée,5,500,Aminata D.,,Carte bancaire,2500
TXN0095,2024-06-01,Savon de ménage,15,1000,Bamba E.,Marcory,Mobile Money,15000
TXN0096,2024-05-20,Tomate concentrée,6,500,Aminata D.,Adjamé,Mobile Money,3000
TXN0097,2024-03-04,Farine de blé (1kg),17,750,Aminata D.,Plateau,Mobile Money,12750
TXN0098,2024-04-22,Huile végétale (5L),10,2000,,Yopougon,Mobile Money,20000
TXN0099,2024-03-22,Eau minérale (1.5L),3,500,Adjoua B.,Plateau,Espèces,1500
TXN0100,2024-04-08,Lait en poudre (400g),7,1500,Kouamé A.,Adjamé,Mobile Money,10500
TXN0101,2024-03-25,Eau minérale (1.5L),15,500,Aminata D.,Cocody,Espèces,7500
TXN0102,2024-04-17,Sardines en boîte,19,1200,Kouamé A.,Marcory,Mobile Money,22800
TXN0103,2024-05-02,Riz (sac 25kg),12,3500,,Adjamé,Mobile Money,42000
TXN0104,2024-05-17,Eau minérale (1.5L),8,500,Aminata D.,Plateau,Mobile Money,4000
TXN0105,2024-04-21,Tomate concentrée,1,500,Aminata D.,Yopougon,Carte bancaire,500
TXN0106,2024-06-22,Sardines en boîte,6,1200,Aminata D.,,Carte bancaire,7200
TXN0107,2024-05-16,Riz (sac 25kg),13,3500,Bamba E.,Marcory,Carte bancaire,45500
TXN0108,2024-01-07,Huile végétale (5L),14,2000,Adjoua B.,Adjamé,Espèces,28000
TXN0109,2024-01-13,Farine de blé (1kg),13,750,Koffi C.,Plateau,Mobile Money,9750
TXN0110,2024-03-24,Savon de ménage,13,1000,Koffi C.,Adjamé,Mobile Money,13000
TXN0111,2024-01-21,Tomate concentrée,1,500,Bamba E.,Cocody,Mobile Money,500
TXN0112,2024-02-27,Huile végétale (5L),2,2000,Kouamé A.,Plateau,Espèces,4000
TXN0113,2024-01-06,Lait en poudre (400g),8,1500,Adjoua B.,Adjamé,Carte bancaire,12000
TXN0114,2024-01-30,Sucre (1kg),15,500,Koffi C.,Yopougon,Espèces,7500
TXN0115,2024-06-04,Huile végétale (5L),6,2000,,Cocody,Carte bancaire,12000
TXN0116,2024-01-07,Farine de blé (1kg),19,750,Aminata D.,Adjamé,Carte bancaire,14250
TXN0117,2024-02-20,Huile végétale (5L),19,2000,Adjoua B.,Cocody,Carte bancaire,38000
TXN0118,2024-03-18,Huile végétale (5L),19,2000,Kouamé A.,Yopougon,Carte bancaire,38000
TXN0119,2024-04-19,Savon de ménage,3,1000,Bamba E.,Yopougon,Espèces,3000
TXN0120,2024-04-17,Tomate concentrée,4,500,Aminata D.,Yopougon,Carte bancaire,2000
TXN0121,2024-04-27,Lait en poudre (400g),14,1500,Adjoua B.,Marcory,Carte bancaire,21000
TXN0122,2024-03-10,Eau minérale (1.5L),16,500,Aminata D.,Adjamé,Carte bancaire,8000
TXN0123,2024-05-31,Farine de blé (1kg),11,750,Adjoua B.,Cocody,Mobile Money,8250
TXN0124,2024-04-25,Sucre (1kg),15,500,Bamba E.,Marcory,Carte bancaire,7500
TXN0125,2024-04-07,Savon de ménage,1,1000,Aminata D.,Yopougon,Espèces,1000
TXN0126,2024-05-04,Sucre (1kg),12,500,Koffi C.,Yopougon,Mobile Money,6000
TXN0127,2024-06-01,Farine de blé (1kg),18,750,Kouamé A.,Marcory,Espèces,13500
TXN0128,2024-01-22,Sucre (1kg),14,500,,Marcory,Espèces,7000
TXN0129,2024-06-25,Tomate concentrée,16,500,Aminata D.,Cocody,Espèces,8000
TXN0130,2024-03-16,Sucre (1kg),13,500,Adjoua B.,Yopougon,Carte bancaire,6500
TXN0131,2024-05-28,Savon de ménage,16,1000,Bamba E.,Marcory,Mobile Money,16000
TXN0132,2024-04-18,Eau minérale (1.5L),11,500,Koffi C.,Adjamé,Mobile Money,5500
TXN0133,2024-03-19,Farine de blé (1kg),8,750,Kouamé A.,Plateau,Mobile Money,6000
TXN0134,2024-01-31,Eau minérale (1.5L),6,500,Adjoua B.,Plateau,Carte bancaire,3000
TXN0135,2024-05-03,Farine de blé (1kg),19,750,,Marcory,Mobile Money,14250
TXN0136,2024-01-26,Sucre (1kg),10,500,Adjoua B.,Yopougon,Espèces,5000
TXN0137,2024-03-18,Riz (sac 25kg),18,3500,Adjoua B.,Yopougon,Espèces,63000
TXN0138,2024-01-14,Eau minérale (1.5L),10,500,Adjoua B.,Adjamé,Espèces,5000
TXN0139,2024-01-04,Farine de blé (1kg),16,750,Aminata D.,Adjamé,Mobile Money,12000
TXN0140,2024-02-17,Riz (sac 25kg),9,3500,Aminata D.,Cocody,Espèces,31500
TXN0141,2024-04-12,Tomate concentrée,3,500,Bamba E.,Cocody,Espèces,1500
TXN0142,2024-02-08,Farine de blé (1kg),3,750,Adjoua B.,Cocody,Carte bancaire,2250
TXN0143,2024-04-16,Sucre (1kg),17,500,Aminata D.,Adjamé,Mobile Money,8500
TXN0144,2024-03-17,Sardines en boîte,10,1200,Bamba E.,Marcory,Espèces,12000
TXN0145,2024-06-05,Huile végétale (5L),7,2000,Adjoua B.,Yopougon,Carte bancaire,14000
TXN0146,2024-01-21,Lait en poudre (400g),8,1500,Adjoua B.,Marcory,Espèces,12000
TXN0147,2024-02-10,Riz (sac 25kg),14,3500,Aminata D.,Marcory,Mobile Money,49000
TXN0148,2024-03-15,Riz (sac 25kg),8,3500,Koffi C.,Yopougon,Carte bancaire,28000
TXN0149,2024-04-26,Huile végétale (5L),8,2000,Koffi C.,Marcory,Carte bancaire,16000
TXN0150,2024-02-20,Sardines en boîte,4,1200,,Plateau,Carte bancaire,4800
TXN0151,2024-02-08,Farine de blé (1kg),5,750,Kouamé A.,Cocody,Espèces,3750
TXN0152,2024-03-19,Farine de blé (1kg),15,750,Kouamé A.,,Carte bancaire,11250
TXN0153,2024-03-18,Sardines en boîte,9,1200,Bamba E.,Marcory,Mobile Money,10800
TXN0154,2024-04-22,Huile végétale (5L),2,2000,Aminata D.,Yopougon,Carte bancaire,4000
TXN0155,2024-03-05,Riz (sac 25kg),3,3500,Adjoua B.,Marcory,Carte bancaire,10500
TXN0156,2024-01-06,Farine de blé (1kg),19,750,Kouamé A.,Plateau,Mobile Money,14250
TXN0157,2024-05-12,Tomate concentrée,9,500,Adjoua B.,,Mobile Money,4500
TXN0158,2024-06-11,Tomate concentrée,3,500,Aminata D.,Yopougon,Mobile Money,1500
TXN0159,2024-03-26,Savon de ménage,4,1000,Adjoua B.,Yopougon,Mobile Money,4000
TXN0160,2024-06-26,Tomate concentrée,10,500,Aminata D.,Marcory,Espèces,5000
TXN0161,2024-04-26,Huile végétale (5L),11,2000,Koffi C.,Yopougon,Espèces,22000
TXN0162,2024-04-13,Eau minérale (1.5L),1,500,Bamba E.,Adjamé,Mobile Money,500
TXN0163,2024-01-14,Sucre (1kg),17,500,Koffi C.,Marcory,Mobile Money,8500
TXN0164,2024-06-09,Tomate concentrée,2,500,Adjoua B.,Yopougon,Carte bancaire,1000
TXN0165,2024-02-03,Farine de blé (1kg),15,750,Aminata D.,Cocody,Espèces,11250
TXN0166,2024-06-10,Sucre (1kg),6,500,Koffi C.,Marcory,Espèces,3000
TXN0167,2024-05-21,Sardines en boîte,3,1200,Adjoua B.,Cocody,Mobile Money,3600
TXN0168,2024-01-31,Lait en poudre (400g),16,1500,Koffi C.,Marcory,Carte bancaire,24000
TXN0169,2024-03-10,Sardines en boîte,16,1200,Aminata D.,Plateau,Mobile Money,19200
TXN0170,2024-05-21,Lait en poudre (400g),13,1500,Adjoua B.,Marcory,Carte bancaire,19500
TXN0171,2024-02-04,Huile végétale (5L),9,2000,Aminata D.,Yopougon,Carte bancaire,18000
TXN0172,2024-03-09,Riz (sac 25kg),10,3500,Koffi C.,Marcory,Carte bancaire,35000
TXN0173,2024-06-17,Tomate concentrée,5,500,Aminata D.,Marcory,Mobile Money,2500
TXN0174,2024-03-29,Savon de ménage,18,1000,Bamba E.,Adjamé,Mobile Money,18000
TXN0175,2024-03-23,Sucre (1kg),8,500,Bamba E.,Adjamé,Espèces,4000
TXN0176,2024-04-15,Riz (sac 25kg),11,3500,Aminata D.,Adjamé,Mobile Money,38500
TXN0177,2024-06-18,Lait en poudre (400g),16,1500,Kouamé A.,Plateau,Carte bancaire,24000
TXN0178,2024-05-31,Savon de ménage,4,1000,Aminata D.,Cocody,Carte bancaire,4000
TXN0179,2024-04-26,Riz (sac 25kg),5,3500,Aminata D.,Plateau,Espèces,17500
TXN0180,2024-04-30,Farine de blé (1kg),11,750,Bamba E.,Adjamé,Carte bancaire,8250
TXN0181,2024-01-21,Savon de ménage,18,1000,Aminata D.,Yopougon,Carte bancaire,18000
TXN0182,2024-05-04,Eau minérale (1.5L),2,500,Bamba E.,Cocody,Espèces,1000
TXN0183,2024-06-10,Farine de blé (1kg),8,750,Kouamé A.,Adjamé,Espèces,6000
TXN0184,2024-06-11,Huile végétale (5L),15,2000,Adjoua B.,Yopougon,Espèces,30000
TXN0185,2024-01-12,Savon de ménage,2,1000,Koffi C.,Yopougon,Mobile Money,2000
TXN0186,2024-04-20,Lait en poudre (400g),8,1500,Bamba E.,Adjamé,Carte bancaire,12000
TXN0187,2024-06-23,Lait en poudre (400g),6,1500,,Cocody,Carte bancaire,9000
TXN0188,2024-04-07,Sucre (1kg),16,500,Bamba E.,Plateau,Espèces,8000
TXN0189,2024-04-28,Farine de blé (1kg),15,750,Koffi C.,Cocody,Mobile Money,11250
TXN0190,2024-03-14,Eau minérale (1.5L),6,500,Kouamé A.,Adjamé,Mobile Money,3000
TXN0191,2024-05-30,Farine de blé (1kg),14,750,Koffi C.,,Mobile Money,10500
TXN0192,2024-02-20,Sardines en boîte,16,1200,Kouamé A.,Plateau,Mobile Money,19200
TXN0193,2024-05-26,Savon de ménage,19,1000,Koffi C.,Yopougon,Espèces,19000
TXN0194,2024-06-17,Sardines en boîte,9,1200,Kouamé A.,Marcory,Carte bancaire,10800
TXN0195,2024-01-13,Tomate concentrée,10,500,Adjoua B.,Marcory,Mobile Money,5000
TXN0196,2024-02-26,Sucre (1kg),9,500,Adjoua B.,Cocody,Carte bancaire,4500
TXN0197,2024-06-14,Riz (sac 25kg),10,3500,Aminata D.,Cocody,Carte bancaire,35000
TXN0198,2024-04-03,Lait en poudre (400g),3,1500,Koffi C.,Yopougon,Carte bancaire,4500
TXN0199,2024-04-16,Lait en poudre (400g),7,1500,Adjoua B.,Marcory,Mobile Money,10500
TXN0200,2024-05-15,Eau minérale (1.5L),9,500,Adjoua B.,Yopougon,Mobile Money,4500
TXN0201,2024-03-16,Savon de ménage,4,1000,Aminata D.,Cocody,Espèces,4000
TXN0202,2024-02-27,Sardines en boîte,18,1200,Koffi C.,Cocody,Mobile Money,21600
TXN0203,2024-01-04,Farine de blé (1kg),18,750,Kouamé A.,Adjamé,Mobile Money,13500
TXN0204,2024-06-21,Farine de blé (1kg),19,750,Aminata D.,,Espèces,14250
TXN0205,2024-06-21,Sucre (1kg),16,500,Kouamé A.,Marcory,Carte bancaire,8000
TXN0206,2024-03-24,Sucre (1kg),3,500,Aminata D.,Yopougon,Carte bancaire,1500
TXN0207,2024-04-14,Huile végétale (5L),5,2000,Kouamé A.,Cocody,Mobile Money,10000
TXN0208,2024-05-06,Huile végétale (5L),4,2000,Adjoua B.,Marcory,Espèces,8000
TXN0209,2024-04-09,Tomate concentrée,12,500,Bamba E.,Adjamé,Carte bancaire,6000
TXN0210,2024-02-09,Sardines en boîte,4,1200,Aminata D.,Marcory,Mobile Money,4800
TXN0211,2024-03-12,Riz (sac 25kg),12,3500,Adjoua B.,Adjamé,Mobile Money,42000
TXN0212,2024-03-01,Savon de ménage,4,1000,Koffi C.,Marcory,Carte bancaire,4000
TXN0213,2024-04-01,Riz (sac 25kg),13,3500,Koffi C.,Plateau,Espèces,45500
TXN0214,2024-04-26,Huile végétale (5L),7,2000,Bamba E.,Cocody,Espèces,14000
TXN0215,2024-03-26,Sucre (1kg),5,500,Bamba E.,Plateau,Espèces,2500
TXN0216,2024-05-21,Sucre (1kg),19,500,Adjoua B.,Plateau,Mobile Money,9500
TXN0217,2024-02-07,Riz (sac 25kg),9,3500,Adjoua B.,Plateau,Carte bancaire,31500
TXN0218,2024-03-05,Lait en poudre (400g),4,1500,Kouamé A.,Plateau,Espèces,6000
TXN0219,2024-04-01,Sucre (1kg),19,500,Koffi C.,Cocody,Espèces,9500
TXN0220,2024-03-08,Riz (sac 25kg),5,3500,Aminata D.,Marcory,Espèces,17500
TXN0221,2024-01-17,Tomate concentrée,15,500,Koffi C.,Marcory,Carte bancaire,7500
TXN0222,2024-01-28,Tomate concentrée,17,500,Adjoua B.,Marcory,Espèces,8500
TXN0223,2024-06-17,Eau minérale (1.5L),10,500,Aminata D.,Cocody,Espèces,5000
TXN0224,2024-05-02,Sardines en boîte,14,1200,Kouamé A.,Adjamé,Carte bancaire,16800
TXN0225,2024-04-23,Huile végétale (5L),3,2000,Koffi C.,Marcory,Espèces,6000
TXN0226,2024-01-17,Lait en poudre (400g),9,1500,Bamba E.,Marcory,Carte bancaire,13500
TXN0227,2024-03-24,Sardines en boîte,17,1200,,Adjamé,Carte bancaire,20400
TXN0228,2024-06-03,Sardines en boîte,4,1200,Kouamé A.,Marcory,Carte bancaire,4800
TXN0229,2024-02-25,Sardines en boîte,15,1200,Adjoua B.,Adjamé,Mobile Money,18000
TXN0230,2024-04-26,Sardines en boîte,14,1200,Kouamé A.,Yopougon,Mobile Money,16800
TXN0231,2024-03-21,Farine de blé (1kg),12,750,Adjoua B.,Adjamé,Espèces,9000
TXN0232,2024-01-24,Huile végétale (5L),3,2000,Aminata D.,Cocody,Carte bancaire,6000
TXN0233,2024-04-05,Lait en poudre (400g),18,1500,Kouamé A.,Marcory,Carte bancaire,27000
TXN0234,2024-05-23,Savon de ménage,4,1000,Aminata D.,Yopougon,Carte bancaire,4000
TXN0235,2024-04-18,Riz (sac 25kg),10,3500,Bamba E.,Yopougon,Mobile Money,35000
TXN0236,2024-01-27,Eau minérale (1.5L),7,500,Adjoua B.,Adjamé,Espèces,3500
TXN0237,2024-01-28,Savon de ménage,18,1000,Koffi C.,Cocody,Mobile Money,18000
TXN0238,2024-05-26,Sucre (1kg),14,500,Bamba E.,Marcory,Carte bancaire,7000
TXN0239,2024-06-21,Eau minérale (1.5L),1,500,Bamba E.,Yopougon,Espèces,500
TXN0240,2024-02-16,Farine de blé (1kg),10,750,Koffi C.,Yopougon,Espèces,7500
TXN0241,2024-02-16,Lait en poudre (400g),19,1500,Aminata D.,Cocody,Espèces,28500
TXN0242,2024-06-11,Riz (sac 25kg),3,3500,Bamba E.,Plateau,Mobile Money,10500
TXN0243,2024-04-17,Tomate concentrée,11,500,Adjoua B.,Yopougon,Mobile Money,5500
TXN0244,2024-03-24,Huile végétale (5L),2,2000,Adjoua B.,Plateau,Carte bancaire,4000
TXN0245,2024-01-13,Huile végétale (5L),9,2000,Aminata D.,Adjamé,Mobile Money,18000
TXN0246,2024-06-04,Tomate concentrée,14,500,Koffi C.,Plateau,Carte bancaire,7000
TXN0247,2024-01-30,Savon de ménage,14,1000,Kouamé A.,Yopougon,Carte bancaire,14000
TXN0248,2024-06-22,Tomate concentrée,17,500,Koffi C.,Cocody,Espèces,8500
TXN0249,2024-04-11,Riz (sac 25kg),1,3500,Adjoua B.,Yopougon,Espèces,3500
TXN0250,2024-02-05,Farine de blé (1kg),10,750,Koffi C.,Cocody,Espèces,7500
TXN0251,2024-05-07,Sardines en boîte,6,1200,Adjoua B.,Adjamé,Carte bancaire,7200
TXN0252,2024-06-29,Sucre (1kg),17,500,Bamba E.,Yopougon,Espèces,8500
TXN0253,2024-04-11,Riz (sac 25kg),14,3500,Kouamé A.,Adjamé,Espèces,49000
TXN0254,2024-03-21,Sardines en boîte,19,1200,Aminata D.,Adjamé,Mobile Money,22800
TXN0255,2024-01-30,Sardines en boîte,1,1200,Koffi C.,Plateau,Carte bancaire,1200
TXN0256,2024-04-27,Savon de ménage,3,1000,Aminata D.,Cocody,Espèces,3000
TXN0257,2024-04-21,Sardines en boîte,17,1200,Kouamé A.,Adjamé,Mobile Money,20400
TXN0258,2024-03-27,Sucre (1kg),11,500,Adjoua B.,Cocody,Carte bancaire,5500
TXN0259,2024-06-11,Huile végétale (5L),17,2000,Bamba E.,Plateau,Mobile Money,34000
TXN0260,2024-03-30,Lait en poudre (400g),8,1500,Kouamé A.,Plateau,Mobile Money,12000
TXN0261,2024-02-20,Lait en poudre (400g),5,1500,Kouamé A.,Plateau,Carte bancaire,7500
TXN0262,2024-05-06,Tomate concentrée,19,500,Bamba E.,Adjamé,Carte bancaire,9500
TXN0263,2024-05-24,Savon de ménage,11,1000,Adjoua B.,Adjamé,Espèces,11000
TXN0264,2024-04-30,Tomate concentrée,10,500,Koffi C.,Marcory,Espèces,5000
TXN0265,2024-03-31,Eau minérale (1.5L),3,500,Koffi C.,Adjamé,Mobile Money,1500
TXN0266,2024-01-10,Riz (sac 25kg),12,3500,,Cocody,Carte bancaire,42000
TXN0267,2024-01-24,Eau minérale (1.5L),13,500,Aminata D.,Marcory,Carte bancaire,6500
TXN0268,2024-01-11,Tomate concentrée,19,500,Adjoua B.,Yopougon,Carte bancaire,9500
TXN0269,2024-05-01,Eau minérale (1.5L),5,500,Kouamé A.,Adjamé,Espèces,2500
TXN0270,2024-03-28,Huile végétale (5L),17,2000,Adjoua B.,Cocody,Espèces,34000
TXN0271,2024-04-22,Tomate concentrée,17,500,,Marcory,Espèces,8500
TXN0272,2024-04-03,Savon de ménage,10,1000,Aminata D.,Adjamé,Mobile Money,10000
TXN0273,2024-06-22,Riz (sac 25kg),11,3500,Kouamé A.,Yopougon,Espèces,38500
TXN0274,2024-05-22,Sardines en boîte,10,1200,Koffi C.,Marcory,Espèces,12000
TXN0275,2024-03-26,Huile végétale (5L),19,2000,,Yopougon,Mobile Money,38000
TXN0276,2024-06-16,Sardines en boîte,5,1200,Bamba E.,Cocody,Mobile Money,6000
TXN0277,2024-05-23,Sardines en boîte,11,1200,Adjoua B.,Marcory,Espèces,13200
TXN0278,2024-06-14,Sardines en boîte,17,1200,Koffi C.,Cocody,Mobile Money,20400
TXN0279,2024-03-20,Lait en poudre (400g),7,1500,,Adjamé,Espèces,10500
TXN0280,2024-02-27,Lait en poudre (400g),5,1500,Kouamé A.,Yopougon,Espèces,7500
TXN0281,2024-05-09,Eau minérale (1.5L),17,500,Kouamé A.,Yopougon,Carte bancaire,8500
